"MlsNumber","PublicRemarks","Bathrooms","Bedrooms","InteriorSize","Type","Ammenities","Address","Price","PropertyType","ParkingSpace","OwnershipType","PostalCode"
"C4966619","Welcome To 18 Yorkville, Luxury Living In The Heart Of Yorkville! This High Floor Southeast Corner Unit On The 28th Floor Features An Abundance Of Natural Sunlight With An Unobstructed East View Overlooking Rosedale Valley. Newly Renovated W/ New 36X36 Porcelain Matte Finished Tile, Engineered Hardwood, Kitchen W/ Quartz Counters & Backsplash, Generously Sized Principal Rooms, Walk-In Closet, Stylish Light Fixtures, & More!**** EXTRAS **** Tandem Parking For 2 Cars, Stainless Steel Fridge, Dishwasher, Oven And Stove Top, Washer/Dryer, Rangehood, Existing Light Fixtures. 24-Hr Concierge, Exercise Room, Bbq Patio, Visitor Parking And Party Room. (27492723)","2","2",,"Apartment","Security/Concierge, Party Room, Exercise Centre",,"$1,399,900 ","Single Family","2","Condominium/Strata","M4W3Y8"
"E4966711","Rare Found Semi-Detached In Sought After Agincourt Community. Brand New Renovation With Modern Design. Hardwood Floor, Quartz Counter, Stainless Steel Appliances, Backsplash, Extended Cabinets. All Large Oversized Bedrooms. Located In Quiet Inner Street Walking Distance To Alexmuir Park And Plazas. Newer Furnace & Cac. Apartment Basement With Kitchen, 2 Bedrooms & 3Pc Bathroom. One Of The Best Value Semi-Detached Homes In The Area!**** EXTRAS **** 2 Fridges, 2 Stoves, 2 Range Hoods, Washer, Furnace, Cac, All Existing Light Fixtures. (27492848)","4","3 + 2",,"House",,,"$749,000 ","Single Family","4","Freehold","M1V1M1"
"E4966713","Excellent Location! Must See This Beautiful 4+1 Br All Brick Home, Upgraded Kitchen With Newer Appliances & Counter Top. Replaced Furnace/Roof Shngls (Ls Thn 5Yrs)/ New Potlights On Main Flr. Skylight Over Staircase, Hardwood Floor, Sun Filled Eat-In Kit. Facing South, Huge Front Porch Encl. Great Location Close To Ttc, Go Station, Schools, Transportation, Shopping.**** EXTRAS **** 2 Brown Ikea Wardrobe (In Bsmnt), All Elfs, All Window Coverings, Fridge, Stove, Dishwasher, Washer/Dryer. Hwt Is A Rental. (27492851)","3","4 + 1",,"House",,,"$875,000 ","Single Family","2","Freehold","M1V4K6"
"N4966684","Transit City 3 Brand New Never Lived In 2 Bedrooms 2 Bathrooms On The 49th Floor. High Floor Premium! 665 Sqft + 114 Sqft (Balcony) Luxury Condo In Downtown Vaughan! Steps To The New Vaughan Metropolitan Centre Ttc Subway, York Regional Transit & New Viva Bus Terminal, Easy Access To Hwy 400, 407 & 7. Fast Direct Connection To Downtown Toronto. Exceptional 100 Acre Master Planned Community With 9 Acre Park! 24,000 Sqft Of State-Of-The-Art Amenities**** EXTRAS **** Beautiful """"Palette C"""" Interior Finishes. Quartz Kitchen W/Under-Mount Sink, Moen Faucets & Laminate Flooring. 6 Premium Appliances. Refrigerator, Dishwasher, B/I Microwave, Washer, Dryer, Range Hood. (27492838)","2","2",,"Apartment",,,"$578,000 ","Single Family",,"Condominium/Strata","L4K5Z5"
"W4966644","Turn Key Luxury And Modern Living Surrounded By Nature! Do Not Miss The Opportunity To View This Sophisticated, Upgraded To 18 Ft Ceiling Loft! 2 Storey Windows, High End Laminate Floors, Beautiful Waterfall Black Granite Island And Glass Backsplash, 18 Ft Stunning Stone Featured Wall In The Living Room, Bedrooms Upgraded With Custom Windows. W/O To Private Patio With Extended Gas And Water Hose. Newly Painted. Minutes To Claireville Conserv.,Hwy 427&407**** EXTRAS **** S/S Appliances, B/I Brand New Microwave, Front Load Deep Washer & Dryer, Beautiful Light Fixtures, Custom Industrial Metal And Glass Staircase Railing. Windows Coverings. (27492822)","2","2 + 1",,"Apartment","Storage - Locker, Party Room, Exercise Centre",,"$639,999 ","Single Family","1","Condominium/Strata","L6P4K9"
"N4966654","Arista Home's Popular Work/Live 3775 Sqft Freehold Townhouse. Bright Street-Front Commercial Unit And 4 Bedroom Suite, 3-Storey . Ground Floor 890 Sqft Convenience Store Run By The Owner. 2885 Sqft 4 Bedroom Suite On 2nd And 3rd Floor. Separate Entries. Residential Suites Feature: 9' Ceilings, Terraces/Balconies On Each Floor. Double Garage + Driveway Parking.  Perfect To Business Owner, Inventor, Or Home Owner**** EXTRAS **** Oak Stairs, Complete/Accessible 2Pc Bath In Commercial Unit. Convenience Store Business, Equipment Included, Inventory Extra. Fridge, Stove, Built-In Dishwasher, Washer, Dryer, Elfs. (27492800)","4","4",,"Row / Townhouse",,,"$1,438,000 ","Single Family","4","Freehold","L6B0M6"
"N4966678","Stunning!!! One Of The Kind Modern Unit With Floor To Ceiling Windows. Open Concept 962Sq Ft With An Abundance Of Natural Light Throughout. Completely Private Corner Unit, Unobstructed S/W/E/N Views From Roof Top 670 Sq Ft Terrace! Plus 2 Add'i Balconies! Upper Level Den Can Be Used As Office.**** EXTRAS **** All S/S,Fridge, Stove, Mticrowave, Diswhasher,Washer& Dryer, All Elfs. Locker & Parking Owned. Prime Location On Yonge St. Close To Hospital , Hillcrest Mall, Restaurant, Transit,Hwy +Shops. (27492830)","1","1",,"Apartment","Storage - Locker",,"$699,000 ","Single Family","1","Condominium/Strata","L4C0X3"
"N4966692","Rarely One Year New Quality Built Bright Corner Unit Townhome With 5 Bedroom.M/F And 2nd 9'Ceil, Hardwood Floor & Oak Stair Thruout All Floor.Open Concept Practical Layout, Upgrade Kitchen With Granite Counter Top.Large Window. Builder Quality Finished Ground & Basement W/Additional 4th & 5th Ensuite Bedroom. Total 3 Car Parking! Prestigious Unionville Area, Closed To Prominent School/Future York University, Shopping, Town Centre, Public Transit, Hwy404,407**** EXTRAS **** Stainless Steel (Fridge,Stove,Dishwasher) Range Hood,Microwave,Washer,Dryer. Upgraded Pot Light, Central Vacuum,Window Coverings, Electric Garage Door Opener, Gas Furnace, Central Air Conditioning,Heater (R).Potl Mo Fee $153 (27492848)","5","3 + 2",,"Row / Townhouse",,,"$1,288,000 ","Single Family","3","Freehold","L3R0W9""MlsNumber","PublicRemarks","Bathrooms","Bedrooms","InteriorSize","Type","Ammenities","Address","Price","PropertyType","ParkingSpace","OwnershipType","PostalCode"
"W4966681","Amazing Location!! Real Gem Fully Renovated, Spacious 3 Bedroom Condo Appart. With Great Layout Features Extra Spacious Open Concept Dining And Living Room With W/O To Extra Large Open Balcony, Large Beautiful Kitchen With Granite Counter Top Large Master With W/I Closet & 2 Pc Bathroom Hardwood Floor Throughout, Professionally Renovated With Top Quality Material Outdoor Pool, Steps To Ttc, Shopping, Schools, Move-In Condition**** EXTRAS **** Incudes Fridge, Stove, B/In Dishwasher.  All Elf''s, All Window Coverings.  One Underground Parking #59, Ensuite Storage Locker.  Building Amenities: Include Outdoor Pool & Patio Exercise Room, Sauna, Party Room And Visitor Parking , (27492871)","2","3",,"Apartment","Exercise Centre",,"$479,900 ","Single Family","1","Condominium/Strata","L5A3R2"
"N4966674","Bright 4 Bedrooms Semi-Detached In Family Oriented Location, Close To Everythings, Walking Distance To Grocery, School, And Parks, No Side Walk, Private Drive Can Park 2 Cars, Fully Fenced Yard, Open Concept Kitchen With Quartz Counter Top, Big Island, And Ceramic Backsplash, Kitchen Overlooking To Family, Hardwood Floor On Living/Dining/Family Rm, Solid Oak Stair, Master Ensuite W/Separate Shower, Extra Room In Bsmt, Soft Water & Drinking Water System.**** EXTRAS **** Kitchen Re-Model In 2017 With S/S Stove, S/S Fridge, S/S Dishwasher, Front Loading Washer & Dryer, Lockable Storm Door, All Lightings, All Window Coverings, Soft Water & Drinking Water System, Roof 2019, A/C 2018, Move-In Before Winter. (27492825)","3","4",,"House",,,"$969,000 ","Single Family","3","Freehold","L3R5S4"
"N4966664","***Welcome To 'Eden Park Towers' Luxury 1+1 Condo*Bright & Spacious Unit*Laminate Flooring Throughout*S/S Appliances*Granite Countertop*High-End Facitlities: 24 Hr Concierge, Indoor Pool And Sauna With Walkout To Patio, Exercise Room, Party Room, Billiard & Game Room, Theatre Room, Library. Close To Many Amenities, Shops, Viva, Hwy 404/407.**** EXTRAS **** Existing: S/S Fridge, S/S Stove, S/S Rangehood, S/S Dishwasher, Washer & Dryer, All Elf's, All Window Coverings (27492812)","1","1 + 1",,"Apartment","Storage - Locker, Security/Concierge, Exercise Centre, Recreation Centre",,"$545,000 ","Single Family","1","Condominium/Strata","L3T0B3"
"C4966714","Luxury Kilgour Estates, Sunny West Exposure, One Of The Largest 1 Bdrm + Den (866 Sf) With Balcony, Gas Bbq Hook-Up At Balcony, 10' Coffered Ceiling In Living And Dining Area. 2 Full Baths, Extra Wide Parking, 24 Hr Concierge, Party & Billiard Rooms Perfect For Entertaining, Indoor Pool, Hot Tub, Sauna, Gym, Theater, Library,:Guest Suite. Minutes From Sunnybrook Hospital, Shops, Prestigious Private And Public Schools,Walking Distance To Ttc.**** EXTRAS **** New French Door Fridge (2020) & Slide In Stove (2020), Bosch Dishwasher, Electrolux Washer & Dryer With Steam Technology. (27492840)","2","1 + 1",,"Apartment","Storage - Locker, Security/Concierge, Party Room",,"$878,000 ","Single Family","1","Condominium/Strata","M4G0A1"
"W4966627","Wow! This Bright & Sunny 1240 Sq Ft Unit Shows Like A Model Suite. Updated To Perfection, Newer Appliances, Clean & Well Presented.  Both Baths Upgraded W/New Sinks, Faucets & Counter Tops. Spacious Master W/4 Pce Ensuite, W/I Closet & Open Balcony.  Steps To Ttc, Schools, Parks & Community Ctr. Great Bldg W/Excellent Amenities, Experienced Mgmt, Close To Airport, Maj Hwys, Churches, Bike/Hike Trls, In/Outdoor Pool, Tennis Crts, Squash Crt, Gatehouse, Guard.**** EXTRAS **** All Elf's, All Window Coverings, All Newer Appliances, Fridge, Stove, B/I Dishwasher, Washer/Dryer Duo, Extra Handy Work Sink Installed In Laundry Room Plus Shelving. (27492795)","2","2",,"Apartment","Storage - Locker, Security/Concierge, Exercise Centre",,"$499,900 ","Single Family","2","Condominium/Strata","M9V5G8"
"W4966495","Location! Location! Stunning! Bright , Spacious And Comfortable 2 + 1 Br. At The Heart Of Mississauga. Steps To Go , Close To Major Highways Qew, 403,410,401. Walking Distance To Shopping Centers . Parks ,Schools & Hospital. The Solarium Offers A Great Feature Of This Unit. Can Be Used As Sun-Filled & Modern Office During The Day Or Can Be A Room To Enjoy The City Lights At Night . Upgraded Kitchen & Bath! A Must See!**** EXTRAS **** Stainless Steel Appliamces, All Elfs, All Window Coverings, Great Location ! (27492316)","1","2 + 1",,"Apartment","Security/Concierge, Exercise Centre",,"$498,888 ","Single Family","1","Condominium/Strata","L5B3Z1"
"W4966491","*Location/Luxury/Comfort* One Of The Largest Corner Unit W/South West Panoramic View Of Downtown Mississauga. This 2+1 Condo Features Open Concept Layout W/ Spacious Living & Dining, Sun Filled Solarium W/ Gorgeous View To Relax Or Enjoy Summer/Winter Evening. Modern Kit W/Granite Counter-Top, B-Splash & Brand New S/S Appl. Master Bed W/ 4Pcs Ensuite & Lrge Walk In Closet. New Custom Window Blinds T-Out The Unit & Much More**** EXTRAS **** This Building Offers 24-Hr Concierge W/ Security, Indoor Swimming Pool/Hot Tub/Sauna, Gym, Billiards Room, Meeting Room/Party Room, Guest Suites, Outdoor Tennis Courts, Well-Maintained Lawns And Plenty Of Visitor Parking & Ensuite Laundry ! (27492311)","2","2 + 1",,"Apartment","Storage - Locker",,"$499,999 ","Single Family","1","Condominium/Strata","L5R3K8"
"W4966580","Beautiful, Executive Townhouse , Small Quiet ,Complex ,Location In Central Mississauga , Absolute Show Piece,Back Onto Pankotte ,Large Family Size Kitchen With Pantry & Under Valance Lighting .Walking Distance To All Amenities .**** EXTRAS **** Includes : Refrigerator, Stove(2019),Washer(2019),Dryer(2018).All Blinds, Garage Door Opener And Remote ,All Electric Light Fixtures ,Central Air Conditioning , Electronic Thermostat ,Pantry, Furnace 2018 (27492425)","2","3",,"Row / Townhouse",,,"$650,000 ","Single Family","2","Condominium/Strata","L4Z3Y2"
"W4966598","Stunning Light-Filled & Luxurious South Facing 1 Plus Den With Breathtaking Views! Every Day Is A Great Day When The Backdrop To Your Home Is The Blue Waters Of The Lake. Come See This Impeccably Clean And Perfectly Maintained Open Concept Unit Boasting A European Styled Kitchen And Quartz Countertops. A Lifestyle Opportunity With The Waterfront Trail, Humber Bay Park, Metro, Shoppers, Ttc, Go, And Restaurants Right Outside Your Door.**** EXTRAS **** European Style Stainless Steel Appliances: Fridge, Stovetop, Oven, Dishwasher, Microwave. All Light Fixtures, Stacked Washer And Dryer, Includes One Parking And One Locker. Best Layout In The Whole Building!! (27492450)","1","1 + 1",,"Apartment","Storage - Locker, Security/Concierge, Exercise Centre, Recreation Centre",,"$580,000 ","Single Family","1","Condominium/Strata","M8Y3H8""MlsNumber","PublicRemarks","Bathrooms","Bedrooms","InteriorSize","Type","Ammenities","Address","Price","PropertyType","ParkingSpace","OwnershipType","PostalCode"
"W4966558","Enjoy The View Of The Lake From Your Living Room. Large Bedroom 2 Washroom Modern Suite With Open Concept. Amazing Layout With Two Balconies. Generously Sized Master Bedroom With 4Pc Ensuite. Hydro Included In Maintenance Fee. Stunning View Of Landscaped Courtyard And The Lake. Lots Of Recent Upgrades. Granite Counter Top, Newer Laminate Floors. Minutes To Downtown, Shops, Lake. Do Not Miss!**** EXTRAS **** Fridge, Stove, Dishwasher, Washer Dryer, 1 Parking. (27492398)","2","2",,"Apartment","Sauna, Exercise Centre",,"$699,800 ","Single Family","1","Condominium/Strata","M8V4E9"
"W4966598","Stunning Light-Filled & Luxurious South Facing 1 Plus Den With Breathtaking Views! Every Day Is A Great Day When The Backdrop To Your Home Is The Blue Waters Of The Lake. Come See This Impeccably Clean And Perfectly Maintained Open Concept Unit Boasting A European Styled Kitchen And Quartz Countertops. A Lifestyle Opportunity With The Waterfront Trail, Humber Bay Park, Metro, Shoppers, Ttc, Go, And Restaurants Right Outside Your Door.**** EXTRAS **** European Style Stainless Steel Appliances: Fridge, Stovetop, Oven, Dishwasher, Microwave. All Light Fixtures, Stacked Washer And Dryer, Includes One Parking And One Locker. Best Layout In The Whole Building!! (27492450)","1","1 + 1",,"Apartment","Storage - Locker, Security/Concierge, Exercise Centre, Recreation Centre",,"$580,000 ","Single Family","1","Condominium/Strata","M8Y3H8"
"C4966571","Your Dream Home With Open Large Terrace Of 376 Sqft In The City. Working From Home? Imagine Sitting In Your Terrace With Fresh Air, A Morning Coffee And Your Laptop. Best Place To Work. Excellent Location. 10Ft Ceiling, Open Concept, Den Has Door With Closet, And Is Being Used As A 2nd Br. Buyer To Assume Heat Pump Rental $135.59/Month**** EXTRAS **** 24 Hours Concierge, Roof Top Deck And Garden, Outdoor Pool, Gym, Visitor Parking. Nest Thermostat, Stainless Steel Fridge, And Stainless Steel Exhaust Fan, Cooktop, B/I Oven, Microwave, B/I Dishwasher, Stacked Washer & Dryer. (27492321)","1","1 + 1",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre",,"$689,000 ","Single Family","1","Condominium/Strata","M5V1T1"
"C4966573","Bright & Airy, One-Bedroom + Den In The Highly Sought After Distillery District. Glorious Views And A Giant Balcony To Enjoy The Outdoors, Large Enough For A Home Gym Or City Garden. Open And Seamless Layout, High Ceilings, Floor-To-Ceiling Windows Gives A Loft-Like Feel. Quality Built Building With Modern Amenities. Galleries, Shops & Restaurants At Your Doorstep, With Easy Access To Downtown.**** EXTRAS **** Fridge,Stove, Built-In Dishwasher & Microwave, New Stacked Washer/Dryer, Custom Window Blinds, 1 Parking & 1 Locker Included.  Exceptional Amenities Include Pool, Gym, Sauna, Guest Suites, Rooftop Deck & More. Newly Painted. (27492325)","1","1 + 1",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre",,"$649,900 ","Single Family","1","Condominium/Strata","M5A3L7"
"C4966604","Rarely Available Premium Layout Stunning & Luxurious South West Corner Suite!! The Mercer's Unique Split 2 Bed 2 Baths Plus Den For Home Office, Modern Kitchen W Island, W/Built-In Miele Appliances, Spacious Master W Ensuite Bathroom, Abundant Natural Light And Skyline Views. Large Sun-Filled Balcony. Excellent Location, Heart Of Entertainment District, Tiff, Roy Thompson Hall W Easy Access To The Path, Subway, Financial District. 1 Parking + Locker Included**** EXTRAS **** B/I Fridge, Dishwasher, Cook Top, B/I Oven, Stacked Washer & Dryer, Microwave. All Light Fixtures, All Custom Window Coverings, Excellent Amenities! On 6th & 2nd Floor. Rooftop Bbq, Sauna & Spa, Fitness Center W/Hot Tub. Path 1 Min Walk (27492364)","2","2 + 1",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Sauna, Exercise Centre",,"$1,048,000 ","Single Family","1","Condominium/Strata","M5V0C4"
"C4966471","Spacious 1+1 Corner Unit In Highly Desired Bayview Village Area. Bright And Clean With Functional Layout. Granite Countertop And S/S Appliances In Kitchen, Sun Filled Master Bdrm, Large Size Den With Window Can Be Used As 2nd Bdrm. Ttc Subway Station At Door Step,  Walking Distance To Go Station, Close To 401, 404, Dvp, Shopping, Hospital, Ikeas And All Amenities. This Boutique Condo Offers All You Need For Urban Life At Affordable Price.**** EXTRAS **** S/S Fridge, Stove, Dishwasher, B/I Microwave, Washer And Dryer, Window Coverings, All Elfs, One Parking And One Locker Included. (27492189)","1","1 + 1",,"Apartment","Storage - Locker",,"$549,900 ","Single Family","1","Condominium/Strata","M2K0A9"
"C4966501","This Lovely Semi-Detached Home Is Located In The Parkwoods Area, Centrally Located In The Heart Of North York! It Boasts 3 Bedrooms, 1.5 Baths, Work Room, Laundry And The Potential For An Income Suite With A Few Touches! Private Bsckyard, Parking 3-4 Cars, Shed. Steps To Schools, Worship & Shopping, Ttc, Mins To Dvp. Home Freshly Painted, With New Broadloom Where Laid.**** EXTRAS **** All Window Coverings, All Electrical Light Fixtures, Existing Fridge, Stove, Washer, Dryer, Dishwasher, Fridge In Basement. Newer Roof, Windows, Furnace + Air Conditioner. (27492229)","2","3",,"House",,,"$799,000 ","Single Family",,"Freehold","M3A2V8"
"C4966512","*Luxury Condo """"Legacy At Heron's Hill"""" By Monarch *Beautiful South View, Spacious 2 Bedrooms, Practical & One Of The Best Functional Layout, 825 Sf + 170 Sf Huge Balcony, Outstanding Facilities: Gym, Indoor Pool, Party Rm, Cyber Lounge... 24 Hr Concierge, Ttc At Door, Shuttle To Subway & Fairview Mall, Mins To 404/401, Library, Grocery & Shopping**** EXTRAS **** Fridge, Stove, B/I Dishwasher, B/I Microwave, Washer & Dryer, One Parking & One Locker Included (27492245)","2","2",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre",,"$639,000 ","Single Family","1","Condominium/Strata","M2J0A7"
"C4966520","2 Bedrooom Unit In Luxury Menkes Broadway Ii, Sunny South West View, Amazing & Prime Location, Direct Underground Access To 2 Subway Stations & Shopping Centre, Great Views From Both Bedrooms And From Large Open Balcony, Walk To All Kinds Of Shops And Restaurants On Yonge St. Minutes To 401/404. 24 Hrs Concierge, Owned Parking And Locker Included, Great Income Potential. Spectacular Building Amenities: Visitor Parking, Games Room, Guest Suites, Indoor Pool+++**** EXTRAS **** Fridge, Stove, Built-In Dishwasher, Microwave, Washer, Dryer, Window Coverings, Existing Electrical Light Fixtures. 1 Parking And 1 Locker Included (27492254)","1","2",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Sauna, Exercise Centre",,"$649,000 ","Single Family","1","Condominium/Strata","M2N7C6""MlsNumber","PublicRemarks","Bathrooms","Bedrooms","InteriorSize","Type","Ammenities","Address","Price","PropertyType","ParkingSpace","OwnershipType","PostalCode"
"C4966501","This Lovely Semi-Detached Home Is Located In The Parkwoods Area, Centrally Located In The Heart Of North York! It Boasts 3 Bedrooms, 1.5 Baths, Work Room, Laundry And The Potential For An Income Suite With A Few Touches! Private Bsckyard, Parking 3-4 Cars, Shed. Steps To Schools, Worship & Shopping, Ttc, Mins To Dvp. Home Freshly Painted, With New Broadloom Where Laid.**** EXTRAS **** All Window Coverings, All Electrical Light Fixtures, Existing Fridge, Stove, Washer, Dryer, Dishwasher, Fridge In Basement. Newer Roof, Windows, Furnace + Air Conditioner. (27492229)","2","3",,"House",,,"$799,000 ","Single Family",,"Freehold","M3A2V8"
